youtubeId,movieId,title,transcription
EJXDMwGWhoA,16,Casino (1995)," I was a hell of a handicapper, I can tell you that. I had it down so good that I ran Paradise on Earth. I had one of the biggest casinos in Las Vegas to run for ten years. You know, if I did it, I'd have to run it my way. Nobody's gonna interfere with you running the casino, I guarantee it. Mickey, you're a guy, make a lot of money for us. Of course I'll keep a good eye on him. All right, look at this place, it's made of money. What do you think about me moving out here? I just gotta tell you, it's no joke out here. You gotta keep a low profile. Right off the bat, they don't like guys like us. You like your money a lot, don't you? Yes, a lot. Security! Security! I'm not a man, I want a family. You got the wrong girl. You'll be set up for the rest of your life. You don't know me. What do you know me to? Three months? They had it all, they ran the show, and it was Paradise, while it lasted. Frankie! They found a guy's head in the desert. That's no good. We got a problem. He doesn't listen to me, maybe he should get lost for a while, take a vacation. Can't make it any clearer, Sam. I would just get out. I'd try to do everything for you, even though I knew, deep down inside you would bury me. I buried you, you buried yourself. I have to be able to trust you with my life. Can I trust you? Can I trust you? I will go to the FBI, I will go to the police, I have not been touching you anymore! Frankie! You want me to get out of my own town? You only exist out here because of me! He's a loose cannon. No! Stop it! You realize what you can do, you can get us all killed? You want to get rid of me? Here I am. Go ahead, get rid of me."
DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995)," In the deepest jungles of Africa, two tribes will fight a savage war unless a sacred animal god is found. So they're sending for the only man who can help. Jim Carrey is Ace Ventura, Pet Detective. Now... Perhaps we should slow down? Nonsense, poopy pants! He will embark on a delicate mission. Later, glove! To help a people untouched by civilization. They did not know about disease until the white man came. I am fighting something. Blind to fear. And immune to pain. Do it. I dare you. Oh, oh, oh, oh! He'll gain the respect of the tribe. Discover the animal within. And answer when nature calls. Ace Ventura is in Africa. Ah, nobody wants to play with me. And Africa will never be the same. I'm alive! I'm alive! Say uncle! Say uncle! Jim Carrey. Do I have something in my teeth? Ace Ventura, when nature calls. Say hello to my stinky little friend. Ah!"
yNLaTtpovys,21,Get Shorty (1995)," In a town known for fame, wealth, and glamour, one honest man has come to Hollywood to make a killing. My name's Chili Palmer. Chili's a gangster. Ran a club I used to play at for another gangster back in Miami. How is Momo these days anyway? She make movies, huh? I produce feature motion pictures. I got an idea for a movie. Doesn't everybody? Yesterday you were a lone shot. Yeah, but I was never that into it. You think the movie business is any different? Ray, look at me. Why don't you take a look at this? You must bring something heavy to the deal. I do. Me. I think you ought to turn around and go back to Miami. You're a stunt man, huh? Yeah. You any good? I mean, he's got no respect for us. That's something bad for a guy his size. Got a major star interested. There's some. Two-time Academy Award nominee, Martin Weir. He played the mob guy turned snitch in Cyclone. Man, one of his best parts. No, well, the best part was when he played the crippled gay guy that climbed Mount Whitney. I guess in your line of work, there's times you have to get kind of rough, huh? Not really. Have you spoken with Mr. Palmer since your husband blew up? Oh, my God! It says here you're getting Martin Weir for the part of love joy. How you gonna do that? I'm gonna take a gun, I'm gonna put it to his head, and I'm gonna say, Son, the papers might know you're dead. That's it. I wonder, would that work? John Travolta. I think you could be an actor. I know you're acting sometimes, but you don't show. You thought I was faking? Gene Hackman. Let me help you. Go ahead. Suck hard on me. Rene Rosso. Harry's dreaming of a $40 million production. He'll never get off the ground. With a star, he'll never sign with or without my help. And Danny DeVito. Looking at you, I'm having memories of us. And I'm wondering, how did it go wrong? How did it all slip away? Well, it didn't slip away, Martin. You did when you went off with Nicky at my birthday party. Yeah, that was a good party. Rough business is smoothie business. Don't you puke on my shoes, Harry. I'm gonna have to go back to Loan Shoggin just to take a rest. Get shoddy. Fade out."
lsmXhM4yfU0,22,Copycat (1995)," What turns on a killer is the suffering and death of another human being. And as his determination builds to take another life, he plans in obsessive detail what props he'll bring, what knots he'll tie. Let me ask you guys something. What turns you on? A criminal psychiatrist. There's a serial killer out there who's strangled three women. He's gonna do it again. A homicide detective. Would you work with us on this? You're kidding, right? I do not want you discussing this case with her in any shape, way, or form. It's the Boston Strangler. You're telling me this guy's copycatting a serial killer's been dead for... 20 years. You're looking for an intelligent white male, 20 to 30 years old, socially functional. Everything's different. Different guy. He's switched from DeSalvo to Bianchi and Bono, the Hillside Strangler. One man is copying the most notorious killers in history, one at a time. He's sending you letters like he's daring us to nail him. If he wants to be famous, he has to be caught. I'm death and life to you, duh. We know that Mr. Cullum was safe in San Quentin last night, so how come his book shows up under the mattress? Together, two women must stop him. The man who has killed five women in this city was just in your apartment. Before he kills again. All I know to do is change your locks, tighten up your security, and pray. Sigourney Weaver, Holly Hunter, and Harry Connick Jr. in a deadly game of cat... Here, kitty, kitty, kitty. ...and mouse. Copycat. Copycat."
OOTTvrb4JZI,23,Assassins (1995)," I knew this day would come. Can you at least tell me how much I was worth? We both play this game, Rath. What kind of shoes will you be wearing when your day comes? In the shadows of life, in the business of death, Robert Rath is ready to stop the killing. The history stops here. No more. It quakes. But in the eyes of a rival... Can I help you? I'm just looking for someone. What's your name? I can check the plot map for you. The real competition... It's not dead yet. ...is about to begin. The contractor tried to kill you, buddy. That's not good. It's between you and him, right? I'm going to tear your heart out. Why don't you just leave me out of it? What's this for? Just in case. I can't shoot anybody. You wish I could. I was aiming at the lamp. Moving target. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I was aiming at the lamp. Moving target. The last game ends before anyone wins. Don't play with me now. Warner Bros. presents Sylvester Stallone. Ten o'clock tomorrow morning I'm going to go into that bank. You can be down there in the plaza somewhere or somewhere in the crowd. They'll shoot you before you go into the bank. No. They'll wait for the prime shot. Antonio Banderas, a woman. It's not the same as killing a man. You have to pull the trigger a different way. Julianne Moore. Strange man, Robert Rath. As long as you are out there, I'll never be number one. Step outside and I'll set you free. This fall, don't take your eyes off them. Surprise. For a second. Now what? Assassins. Directed by Richard Donner."
gHl-UHu2-lM,24,Powder (1995)," I'm sorry. I'm sorry. Jesse. Doug. Thanks for making the drive. I can hear him again. He's moving around down there. Tell me you didn't try to talk to him. You bet your ass I didn't. The old man here died last night. Neighbors found him this morning. We figure the kid's his grandson. The neighbors say he may be retarded. One of them says deformed. The neighbors talk about him like he's some kind of a phantom. I haven't met one yet that I've ever had a good look at. Hello? What's your name? Powder. We're still out at the reeds. We got something out here nobody's gonna know about. We're gonna have to get out of here. We're gonna have to get out of here. We got something out here nobody's gonna believe. I just got off the horn with the coroner. He said that old boy died of natural causes, but there was evidence of fibrillation. His body was juiced with electricity. That old man was laying dead there all night. Think the paramedics showed up this morning and tried paddles on him? Are you telling me the kid electrocuted the old man? What do you think, he's Dr. Frankenstein? I'm just saying that that's more than albino, Doug. That is spooky. I never thought we'd find a man too white for you there, Harley. I've never seen anything like him. Got some kind of disease? What are you doing? No! No! You"
UMlYWZgCIgo,25,Leaving Las Vegas (1995)," My heart is crying, crying, lonely children. My pill will never dry. I really wish you'd come home with me. You're so cute. And I'm really good in bed, too, believe me. No? Okay. When your life is on the rocks, and you can't remember how it got there, it's time to move on. We're gonna let you go, okay? Okay. What are you gonna do now? I thought I'd move out to Las Vegas. A blush on your cheek. Ben wasn't planning to start a new life, and he wasn't asking for a second chance. But on the road to oblivion, he got lonely. If you'll come to my room for one hour, I will give you $500. Sarah thought her life was as it should be, and then she met Ben. Why don't you stay at my place tonight? Okay. Wow. You look extremely beautiful. I do. Come rain or come shine. And against all the odds, these two unlucky people fall head over heels. You'll never dry. Stop! Oh, my God. Come home, come home. Just say you will, say you will. Nicholas Cage. Nurse! Elizabeth Shue. So what's it tonight? Another $500 to watch you sleep. Looks like I'm with the right girl. Leaving Las Vegas."
RQLVzTtt2Ws,27,Now and Then (1995)," Truth or Dare? Truth. Are you happy? Am I happy? That's a good question. I'm just realizing that I've spent my entire adult life trying to recapture the way I felt the summer of 1970. Hey Kenny, where's the fire? Softball game, Kendall's Field. It's gonna be all boys. So what are we waiting for? That was the summer when everything started to change. Hey Wormers! Come and get them, suckers! Hi! Not ugly! No matter what I do, they just keep getting bigger. If we wanted to hear the facts, we went to our parents. I've been thinking about what you asked me. About sex? You say that very casually, it scares me. Have you ever been French kissed? Are you kidding? I don't want to get pregnant. But if we wanted to know the truth, we went to our friends. It's like somebody going, boo, ah, that's what sex is. Just about the only thing that didn't surprise us that summer was who our friends were. It's too bad your mother's dead. Somebody needs to teach you to act like a girl. I say we make a pact. Whenever we need a friend, we're here for each other. No matter what happens in life. She was really beautiful. We're here for each other always. Best friends for life. For life. It's coming. I think I saw Ted. You didn't see his head? No! He's taking the limo. New Line Cinema presents Sugar Christina Ricci and Rosie O'Donnell as Roberta. You're a woman on the verge. It's like a volcano ready to erupt. Bola Burch and Melanie Griffith as Teenie. You are a sexual magnet attracting men from the four corners of the world. Gabby Hoffman and Demi Moore as Samantha. Don't be afraid to take the plunge. You might surprise yourself. He's back and we brought him here. Ashley Aston Moore and Rita Wilson as Chrissy. Let go of your inhibitions before you dry up like a prune. Get it out! In a film about who we were. If you mention this to anyone, I'll beat the hell out of you. Who we are. Oh, God! I changed my mind about the drugs! It's too late for that. Give me the drugs or I'll kill you! And the friends. We have to fight for it. We're booted to the death. How big are your boobs now? Well, just how big are your boobs? 36D, one worth every penny. All fours and one bra. Now and then. Directed by Leslie Lingard-Ladder."
lYSHAyODiGs,28,Persuasion (1995)," Dare not say that man forgets sooner than woman. I have loved none but you. From Jane Austen's timeless classic comes the story of a woman, a captain, and a desire so strong, It will stay, won't you? It could destroy them both. To involve yourself with a man with no fortune, no connection. Between her heart's desire... He is charming, he is clever. You have an extraordinary ability to discompose my friends, sir. You have an extraordinary ability to influence her, ma'am. And her family's disdain... You prefer a sailor. Your own family connections among the nobility of England and Ireland. Lies a woman open to persuasion. The critics call persuasion a Cinderella romance so delicious you want it never to end. And simply the finest movie of this year or any year. If you adored a room with a view, then you'll cherish... Persuasion."
toH1vzAmDBI,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)", You You You
mQf3Ngg2cks,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),《復雲散》復雲散 明月照人來團圓美滿 今朝醉琴前池塘 遠揚溪水紅衫隨意 鬢鬢連開雙雙對對人來這暖風 向著好花吹柔情意 滿人間詞曲 李宗盛詞曲 李宗盛
gA-5nLQCmW8,31,Dangerous Minds (1995)," The Kids with High IQs Who are those kids? Rejects from hell? From hell? No. The kids with high IQs and low grades. All you gotta do is get their attention. Once a Marine, always a Marine. Most of my students don't even know what a verb is. If you want to pass, all you have to do is try. Haven't seen you guys in a week. Thought maybe you got lost on your way to class. I wanted to help you find your way back. You gotta be crazy to stay here and teach these program classes. Why do you stay? Why do I smoke? I'm crazy. These kids are so fragile. You got to rage against the dying of the light. You promised. Yeah, but we had to. We couldn't walk around with our heads up no more. You a Marine, you understand. You come and live in my neighborhood for one week, and then you tell me if you got a choice. There are a lot of people who live in your neighborhood who choose not to get on that bus. That is a choice. There are no victims in this classroom."
15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)," You're a very good observer, Cole. We have a very advanced program, something very different. An opportunity to reduce your sentence considerably. And possibly play an important role in returning the human race to the surface of the Earth. No license, no prints, no warrants. But he took on five cops like he was destined to the eyeballs. What year is this? What year do you think it is? 1996. That's the future, James. Do you think you're living in the future? I'm simply trying to gather information to help the people in the present trace the path of the virus. We're not in the present now. This is a place for crazy people. I'm not saying you're not mentally ill, I'm for all I know you're crazy as a loon. The army of the 12 monkeys, they're the ones that spread the virus. Monkeys? He's been living in a meticulously constructed fantasy world and that world is starting to disintegrate. You're having to become addicted to that dying world? No, sir. He needs help. I think I'm crazy when people start dying next month. I don't belong here. You're here because of the system. I know some things that you don't know. Yes, my son. Send me to the wrong year. You're certain of that? Science ain't an exact science. You had a bullet from World War I in your leg, James. How did it get there? I don't know. You're a trained psychiatrist. You know the difference between what's real and what's not. You said that I had delusions. You said you could explain. I'm trying to. I want the future to be unknown. Please! I can help you. Get you out. You can't hide from them. Don't even try. We're all monkeys. If they mutate, we live underground. They're watching you. I just want to do my part to get us back on top in charge of the planet."
tVxeoUtVF0o,34,Babe (1995)," When I first came to the boss's farm, it was a whole new world to me. Everyone here seemed to know their place. The boss, and his wife, the sheep dogs, the sheep, and all the other animals. Well, almost. We've got to do something about that duck. Now I just have to figure out where I fit in. I want my mom. Good heavens. Who are you? Babe. There, there. The little pig's a bit low. He's going to sleep with us. But mom, he'll wet the bed! What are you? You. Pig. What are you? I'm a you. A you. This is the story of a brave soul. Hello, sir. Get out of here! Whoa! Whoa! Whoa! Who was trying to find his destiny. Can I learn how to work the sheep today? Get them up, pig. Remember, you have to dominate them. Bend them to your will. Ruff, ruff, ruff, ruff! He knew his path would not be easy. I'm not sure if you realize how much the other animals are laughing at you. It's not a duck that thinks it's a rooster. It's a pig that thinks it's a dog. You should accept what he is and be thankful for it. But now he's determined. These sheep, they're inferior. Oh, no, they're not. To take care of business. All a nice little pig like you need do is ask. His way. Thanks very much. It was very kind of you. A pleasure. What a nice little pig. From Universal Pictures comes the story of Bade. You look like an intelligent, sophisticated, discerning old fella. Who, me? The pig with the gift of gab. La, la, la! Nerves of steel. Get out of here, you big butt heads! And a heart. May I call you Mom? Gold. I don't know. Bade."
ccq3f9-lQyM,35,Carrington (1995)," THE HOMOSEXUAL Who on earth is that ravishing boy? Harrington! Oh my God. I was just thinking about that disgusting old man with a beard. He's a bugger. I never know what that means. Is he homosexual? Would you really like to be called Captain? My first name is Dora. Let's see. You know as well as I do, it's a sickness with Carrington. Girl of that age, still a virgin. I was still a virgin at her age. So was I. Is there to be no progress? You must have patience. It is killing me. Someone must explain to her, someone that she respects, that I'm an important artist. And you think if she realizes that, she'll learn sure enough. I tend to be rather impulsive in these matters. Like the time I asked a Virginia Woolf to marry me. Turned you down? No. No, she accepted. It was ghastly. I've been meaning to tell you, I can't say I really approve of Reims. My real name is Reginald. Myself, I'm very much in favor of Grave. Grave. He tells me if you don't marry him, he's resolved to go and live abroad. I shall go to Bolivia. I think I ought to go and tell him I love you. I was always very aware that you're my friend and she's my wife. I mean, your wife. Carrington! Can't you see it? And I'm asking you to help me. My dear, as we both know, I'm supposed to be bringing you together. These last few months, whenever I know I'm going to see you, I get so excited inside. Are you going to live with him? Well, he's just a disgusting pervert! You always have to put up with something. What do you think we ought to do about physical? I don't mind about that. Ah, but you should. What can you be thinking of going out in this weather? Just be fair to you. I can never have a child. Unless it was yours. Oh, my God! People in love should never live together. When they do, the inevitable result is that they either fall out of love or drive one another insane."
qpQ-CnutDy0,37,Across the Sea of Time (1995)," I will never forget the moment I first saw New York City. It is a miraculous place like nothing I ever could have imagined. The grand avenues go on as far as the eye can see and are lined with buildings that seem to touch the sky. You can think of me as I walk the city streets looking for work and lodgings. Yesterday I explored the financial district, Wall Street. Here, the Tsars of American industry invest money in the future of the entire country. I'm Thomas Minton from Russia. Where it is? This was taken in 1916 and I have no idea. Need a pot. Sorry. Good luck kid. What? Wait a minute. Yeah, yeah, yeah. I know this. You go around the corner, up the street, a few blocks. You can't miss it. My dear family, I have a room now in Tenement building on Lower East Side. There are many Russians here, but also Italians and Germans, Irish and Scandinavians. The neighborhood sometimes seem like small countries bordered by the city streets. But even with our different languages and customs, we can still become friends because we are all Americans. Mama, I will never go hungry, not in New York. Eating here is like traveling around the world and you can smell where you are before you get there. Fresh chicken."
