id,transcription
100487, You Just hate hiding all the time being like everybody's whispering about me is that her my mama says her whole family are Satanist I Like you you don't know anything about me my family's different You witch we prefer the term caster When I turned 16 my powers will be claimed free that the light was dark you think you can keep Lena so good so innocent Wasn't that a same before I was claimed? And look at what I am now Don't know what I'll be I have 75 days left Seraphine the curse has already begun You know will not turn dark. She's too strong She's gonna be more powerful than either of us She will lead us all don't want mortals have run things for long enough Lena will put an end to them Seraphine is the most powerful dark cast So I'm gonna be claimed for the dark no matter what no you control your own nature I'm loving this boy puts you in terrible danger you get the both of you killed. There's gotta be a way get out Oh Help stop seraphine some things cannot be stopped That house begun already closer to the dark that I was I want you out of here There's darkness in you don't you try and deny it The concept it's we don't be with me We can rule over a new world
100517," Hi, I'm Ruhi Singh, fun loving, adventurous. I believe in making my dreams come true. And now try to not be like elephants for now, be softer. To be a Miss India, it's become like a little factory, when you go inside and you're polished like a diamond, to the best that you can be polished to. The modern Indian woman. It hurts? It looks bad. It's too dark in here. The process of becoming a lion starts here. To awaken the physical, mental and physical awareness of youth. Hooray! Hooray! We'll give you back your milk and mangoes. We'll give you back your milk and mangoes. The coming days are like this. The weather is good, but the weapons will be used up. I'm not a Gandhi supporter. I hate Gandhi. Frankly speaking, I hate Gandhi. To give your life for Mother India is a big thing. We're all lucky. When they told me that you've got a daughter, my reaction was, oh God. My husband comes and says, just kill her. Yeah, just kill her. I held her, I said, this girl will make me proud. Bye, goodbye, I said, and I walked off. Should we go with the old world or should we go with the new world? There are a lot of things that are right for me, which are wrong for my family. But they need to understand I've been born in the 21st century. We do something like this. India will never take this. Bye, bye. I'm going to make the full use of this platform because from here life doesn't end with the kids."
100714," Oh, we say we were gonna stop they wanted to see the ruins. Yeah, but should we wake them up? You know, let's do on our way back to the airport. We can catch them Yeah, probably And how did you two meet we met about 18 years ago we kind of sort of fell in love and And a decade later we ran into each other No, you wrote a book and I read about it and went to look for it's pretty romantic If we're meeting for the first time today on a train, would you start talking to me? Would you ask me to get off the train with you? Of course Well, this place is so full of thousands of years of myth and tragedy and I thought something tragic was gonna happen still there still there Gone Oh never stop ogling girls, they don't argue girls and make a lot with them with my I'm stuck with an American teenager I feel close to you. Yeah, sometimes I don't know. I feel like you're breathing helium and I'm breathing oxygen What makes you say that? I wanted you to say something romantic and you okay? You are the mayor of crazy town. Do you know that you are? This is how people start breaking up oh my god I assure you that guy you vaguely remember the sweet romantic one that you met on a train That is me Why am I finding myself so attracted to this woman?"
100745," Hi, my name is Simon and I'm the director of The Pirate Bay away from keyboard, a feature documentary about the founders of the world's largest file sharing site. Right now it's a really exciting time. We're one month away from the Court of Appeal hearings in Stockholm, Sweden and I'm in Southeast Asia following the story. A couple of years ago I accidentally ran into Broken, one of the three founders of The Pirate Bay. Over a cup of coffee he told me how the White House had threatened the Swedish government because of his and his buddies hobby homepage. He told me how The Pirate Bay had tried to buy an island to create a nation of their own without copyright laws. He also told me about The Pirate Bay's involvement with Wikileaks. I was totally amazed by the stories Brokeup told me and at that point I hadn't even met the other two founders. When I finally did meet Tiamo, Anakata and Brokeup and saw them in the same room together, I realized that the real story here is between them within the context of the global copyright conflict. I've been following this story for almost two years now. Right now I'm sitting on over 200 hours of incredible footage. This is where I need your help. In the past I've edited myself but with this amazing story I want to find a great editor that can help me tell a complex story in the best possible way. The money I raise here would go to hire a professional editing studio and an editor. A lot of people keep asking me how can you make a movie about The Pirate Bay when they're killing your own business as a filmmaker. They say that file sharing is killing creativity. Well to me the answer is simple. I don't believe in it. I believe in finding new ways of rewarding culture. This is one such way. Help me prove them wrong. Thank you for watching."
100843," Kaffee zum Mitnehmen, bitte. Da hätten wir zwei Sorten. Einmal den Kaffee Arabica oder den Columbia Morning. Welche Kaffeesorte kommt dem normalen Kaffee am nächsten? Mir schmecken beide. Gut, dann nehme ich den Columbia. Alles klar, 3,40 Euro, bitte. 3,40 für einen normalen Kaffee? Ach, das ist der Columbia. Musik Kaffee riecht Wegen der Bank. Ich habe Professor Collard kennengelernt. Er hat mir erzählt, dass du das Studium geschlossen hast. Was hast du zwei Jahre lang getrieben? Ich habe nachgedacht. Über was? Über mich, über dich, über alles. MPU, wissen Sie, was das bedeutet? Medizinisch-psychologische Untersuchung. Im Volksmund auch noch genannt. Und wer ist damit gemeint? Sie oder ich? Der Präsident müsste diese Stadt abrennen oder in einer Toilette runterspülen. Taxi-Driver? Genau. Herzlich willkommen, Fleischbällchen. Die sind gut. Stell dir vor, wie du mit dem Schläger eins über die Rübe ziehen würdest. Wenn die Haltung stimmt, aus der Taube. Ich gebe dir einen Tipp. Schneide die Haare, kauf ein paar ordentliche Schuhe. Frigida? Bist du 17? 18? Du bist schon als Alki auf die Welt gekommen, weil deine Mutti die Finger nicht vom Schnaps lassen konnte. Du willst, dass dich jemand in den Arm nimmt. Juleka, können wir wieder reingehen? Bist du ein einsamer Wolf? Ich habe Heimblas und Schimmer. Wovon reden die? Kennst du das Gefühl, dass die Menschen um einen herum merkwürdig sind? Wenn du länger darüber nachdenkst, wird dir klar, dass nicht die anderen, sondern man selbst das Problem ist. Wollen Sie was Neues ausprobieren? Wir haben ein Tagesangebot. Für 2 Euro gibt es einen Schokodunat oder eine Schnecke. Soll noch Milch rein? Sojamilch. Bitte nicht."
101070, أمودّو واجدة، تعالي بسرعة سأرى أمام البيتين واجدة، أين غطوتك؟ بي 20 سيكل عشان سابق قابلت الله وبعدين عند ركبتي سيكل لا تستطيع أن تحمليني ولا تجبيني عيالي أمودّو غالي عليك سأعطيك 10 ريال 20 والله إي والله والله يعني ما تريد بنات ما يكبولوا الشيات أنت تدري زعنة عنه ما أتكلم وتدري ما بيكتب يا سيكل لأي أحد شريط من المواعات بما أحنا صارنا أصحاب الآن موسيقى شو رايك في الفستان؟ بتاقيين بيعجب أبوك؟ أنتيني من أبو أدو نعرفين اثنين أنه ما راح يصير ما عندكم سالفة غال العرس شعنديك واقفة عنده اشترات عائلة أبوك اللي مباجلة تحبينا أبوك؟ أبوك كان أول رجل في حياتي واشاء الله الأخير يعني شن تسوي فيك الحياة؟ نطرتك؟ وكل هذا ليش؟ عشان ما خلتك تشتري زي؟ أبوك أعطني 5 ريال حسناً أعطني 5 ريال لأوقف تصير تحسبين أنك تريين نسوي لنكتبين وما حد يدري عنك؟ أبوش رايك نزوجك آه آه ما يبوا حد أمّا أولنك إذا بغيت شيء ما حد يقدر عليك راجده
101106," When we showed up at Sound City, what is this place? Because I don't know that we could make a record in here. Whatever happened, you are rock and roll. When you walk into Sound City, you'd love it or hate it. It looks kind of dumpy. Brown shag carpet on the wall, that's the kind of thing that you would do to your van. But walking down the hallway and seeing all of those platinum records on the wall, that's what I'm talking about. Tom Petty. Fleetwood Mac. Neil Young, man. Cheap trick. Chili Peppers. Pat Benatar. Guns N' Roses. Nine of Snails. Floor and Error. Rats. Johnny Cash. Metallica. Dude, how many of these albums have been made there? We chose Sound City because Nevermind was recorded there. This guy, Rupert Neve, designed these next generation consoles. There's only four like this in the world. There's something about the Neve sound. It's a pretty badass console. When you came to work at Sound City, it was a tape-based studio. You knew what you were getting. Sound City was a place where real men went to make records. All during the 80s, you listened to one of these stations where they played rock and roll. Seven or eight out of ten songs were recorded at Sound City. I was wondering whoever used the board after us if they had a burning sensation the next morning. Then they'd know we were there. Other studios started to shift. Everything's got to be digital. Now you can record audio into the computer. I heard some young guy in a band say, you don't have to practice anymore. You just slice it up in the computer and it comes out perfectly. Sound City, it just couldn't keep up. It started selling off the gear in Studio B. I thought that board would just go straight to the Rock and Roll Hall of Fame. I'm trying to move on, but it's been hard. Like many things, there's no bookstore, there's no music store, and there's no Sound City. In this age of technology, where you can manipulate anything, how do we retain that human element? Let's rock, let's play, let's record. Be true to yourself and make the music that you love. Chemistry is something that happens between people. The conversation became something much bigger. How do we keep music to sound like people? It sort of like evolves until it hits this point and maybe goes... ..."
101112, Step this way! See the most wondrous sights imaginable! Kansas is full of good men. I don't want to be a good man. I want to be a great one. You're gonna need this! Nooooo! Nooooo! Am I dreaming? You're an Oz. Aren't you the great man we've been waiting for? Thanks for watching!
101142," Tonight we'll hear the story of Crispy Bear. A long time ago, this little bear was alive because she listened to her father, so she was happy. But Crispy had one terrible problem. She was filled with curiosity. Yes, and one day she saw something new and died. Just like that? Yes. Same ending as every day. I get it, Dad. I will never do anything new or different. Good man, Thunk. My family has always survived by living by my dad's one rule. Never leave the cave. We never had the chance to explore the outside world. But what we didn't know was that our world was about to change. Eve, come down! Get to the cave! Go! Look out! You really need to see this. It's so beautiful. Go! DreamWorks The Croods"
101283," Listen to me, Bert. Nobody likes you. Nobody will ever like you. Welcome to the amazing world of magic. Wow. Everyone loves this administration and they'll love you too. Do you want to be my partner? More than anything. I'm Bert Wonderstone. And I'm Anton Marbleson. But of course you already knew that. Your ticket sales suck. What? Steve Graik. They're calling him the future of magic. This guy's a magician. He doesn't even have a costume. I'm sure you've seen people walk on red hot coals. But I doubt you've seen anyone spend the night on red hot coals. You need to do something fresh. So this is where old entertainers go to die. And so I'm not so old. May I see that for a minute? Watch this. What have you done? I'm a magician. I should have explained that to you earlier. You're Rance Holloway. I had your magic kid as a kid. I'll give you your money back. What are you feeling right now? That's why you became a magician. How did you do that? I was partially deboned. What you do is not magic. It's natural for a dying leaf to be frightened by the autumn wind. Your skin makes me cry. We need some sort of grand illusion. You and Bert Wonderstone plan to stay in the box an entire week? I can't breathe! It's only been 20 minutes! This is the best trick ever. For 12 days he's held his urine. What is going through your mind? I really have to pee, Richard. It's time for my final disappearing act. Where did he go? He has gone to a better place. Goodbye, Rance. He's under the bed. I know. Why you think they call me Mr. Worldwide?"
101360," 911. 911, where's your emergency? Look out! Officers are going to be there any second. He's going back downstairs. Lea? I think he hit the phone, Frank. Whoever this is, I suggest you leave that house before you do anything you're going to regret. It's already done. This marks the sixth girl murdered. Investigators believe they are dealing with a serial killer. I'll be here when you need me. I'm on my way home now. Love you too. Bye. Oh my God. 911, where's your emergency? I'm in the trunk. I can't get out. There's no location. It's a disposable. No chip. Help me! I don't know what to do. Okay, listen. For us to help you, I need you to help me. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. For us to help you, I need you to help me. Police! We're going to fight. Can you tell if you're on a freeway or a surface street? Freeway. Okay, kick the tail lights out. I did it. Good work. I want to see if any other car is going to be able to notice you. Now find a release lever. Please, I've been kidnapped! Open the door now! Listen to me. Do not hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. I'm not going to hurt them. Listen to me. Do not hurt that little girl. You don't have to do this. It's already done. It's already done. It's the same man. We are going to find you. Where's the house? Where's the house? Where's the house? 911, where's your emergency?"
101362," You Mr. President five minutes sir evening, ma'am. Merry Christmas Mike Mustang. This is big top bringing out the full package Where'd that come from You Everybody knows you did the right thing on that bridge and the president knows you gotta learn how to get back into the real world President we're ready for you our guests have arrived. I'd like to welcome you to the White House, sir There's no inclusion let's go move I Give me the Pentagon on the line now Olympus is violent Olympus Mr. Speaker, you are the acting president. I'm gonna speak to the Russians the Chinese the British and French in that order You attempt to retake this building now, we'll exit you your commander-in-chief We have contact from inside the White House identify yourself three zero niner Jesus banning Same guy that was removed from the president's detail. He is ex special forces 40 commandos breached the gate 20 and left can we trust him? With all due respect I'm the best. Hope you've got We're talking about the safety of the president of the United States We're talking about a hell of a lot more than that sir Just open the gates of hell United States of America doesn't negotiate with terrorists Who said anything about negotiating You"
101529," If I had a million dollars, I'd stay in bed with you all day. We're letting people go, John. You're the first. We have a lot of applicants, all of whom have 10 years' experience. Okay. Things will get better. You're gonna have an amazing job one day. The Antiques Roadshow is coming this weekend. Why don't we see if we can find someone to get on TV? I'm so sorry for this, John. Look, it gives you money when you hurt yourself. We have to promise to stop before it gets out of control. We make our million and we stop. I'll take the full Brazilian. I want it all gone. Let's do this the old-fashioned way. So John, I'm sorry. You are. I'm sorry. You are. You are. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. So John, are you still with the same company? We switched to private investing. It looks like you're doing all right. Shabbat shalom. Where is the teapot? Our grandmother risked her life to save that teapot during the Holocaust. We just have to find out what this thing is. The teapot possesses extraordinary power. You are in grave danger. Most people kill themselves for decades and get nowhere. It's a gift from the gods. We said we'd stop when it got out of hand. I'd say it's out of hand. You're turning evil. There is nothing evil about wanting more. What's the problem with your face? Your eyes like are hanging out. I'm fine. Whatever it is that's going on, it's not worth it. I'm saying we didn't warn you. Violent. What sort of dog do you two have? I heard them howling last night. That was just some really violent sex."
101741," 5% of the population can be described as extremely suggestible. What can you make them do? Anything. Simon, close your eyes. I want you to follow my voice. I like your voice. Imagine you're in a place where you feel secure, in control, and you feel so comfortable, so relaxed. All your problems... Where is the painting? I don't remember. ...seemed so far away and so long ago. I remember that day. What we are is the sum of everything we've ever done, which is constantly being revised and remembered. I know what you were going to do to me. She put that memory there. It's not real. The plan was simple. Hypnotize the guy. You bring him back the painting. Was I hypnotized? He's afraid that once he's remembered, you'll kill him."
101864," The last Super Bowl was played right here. Please don't tell me it was a classic. Classic game. 80,000 people on their feet. Seconds left on the clock. The QB throws a Hail Mary. Touchdown! 166, back online. 166, back online. 60 years ago, Earth was attacked. We won the war, but they destroyed half the planet. Everyone's been evacuated. Nothing human remains. We're here for drone repair. With a mop-up crew. This is Jack Harper. I'm good to go. Two more weeks, Jack, and we can finally leave and join the others. Don't take any chances. I've been watching you, Jack. You're curious. What are you looking for in those books? Do they bring back old memories? We have an unidentified impact. Don't ask too many questions. They are human. This is ordering you to return to tower. Jack. How do you know my name? They're firing on survivors. Stand down! What have you done? I can't protect you. They won't stop until they find me. If you're looking for the truth, that's where you'll find it. You need to know what happened. Why aren't you telling me? Who are you? Jack, this is ordering you to stand down. I'm not gonna do that. This is the only way."
101895," and I'm gonna make him pay for this. I promise. I'm not gonna let you out. I'm not gonna let you out. My daddy left us. I was only six months older then you are now. I don't remember him. You will remember me. Jackie Robinson. A black man in white baseball. I want you to know I'm there for you. And my heart. Think about the abuse that he's gonna take. Your enemy will be out in force but you cannot meet him on his own low ground. What you gonna do if one of these pictures throws through your head? I'll duck. Mark my words and circle this day, Negroes are gonna run the white man straight out of baseball. This ain't the America I know. You hear me? If they knew you, they would be ashamed. If Robinson can help us win, then he is gonna play on this ball club. You don't belong here and you never will. Get off the field. Brooklyn Dodgers ain't changing our way of living. Where are we down? You are not the only one with something at stake here. You want a player who doesn't have the guts to fight back? No, I want a player who's got the guts not to fight back. Give me a uniform and give me a number on my back. I'll give you the guts. I rob, I send, oh man, I'm Jackie Robinson. Except when I run base, I dodge the pen. I'm just a ball player. You a hero. Why don't you look in the mirror? This is a white man's game. I'm not going anywhere. I'm right here. I'm a Brooklyn boy, I may take some getting used to. Maybe tomorrow we'll all wear 42. We will walk."
101904," What do you want out of life? I don't know. To be happy? To be happy. I want the American dream. I want to be happy. The professor said to me, you can never measure happiness. And why they thought you could measure depression, which they were all doing, but you couldn't measure happiness, I'm not sure. This is a paradise to me. That's why I love it so much. And then you don't know what you're going to see. When I was run over by a truck, my whole life changed. There is a great deal you can do on a regular basis to become happier. There is a great deal you can do on a regular basis to become happier."
101947," Ever since we were kids, Edge tunes up at high volume. Dang, da-dang, da-dang! Edge, would you shut the f*** up? Da-dang, da-dang, da-dang! Let's give him a rock star. Let's have some fun with this. I took Lou Reed's glasses, Jim Morrison's pants, Elvis's jacket and a little bit of his haircut. It was like an identikit rock star, you know, an Assemble One yourself. It was incredibly free. Come on now, give me that chocolate mousse. Red. It's alright, it's alright. Red. It's alright. It's not alright, in fact. Something happened in Acton Baby. That was the pivot point. We started out doing the same thing that we'd always done. We'd just bash it out. Listen back and not like anything that we were doing. We were on completely different pages. The fact that the Berlin Wall had come down, that was pretty powerful stuff. We were building our own wall in Hansa Studios. There's an environment out of which music grows. There's a kind of faith that's necessary to move from one note to the other. Suddenly, something happens and you know it. Suddenly, something happens and you know it. It was one of those hairs on the back of your neck moments. Making Acton Baby was the reason we're still here now. It wasn't that we found a sonic identity, we found a spiritual identity. That was what we actually needed. We still were in music because it could be fun and because it could go places you shouldn't be allowed to go. And we carried each other to the point where we could stand on our own feet. We were in the same room. We were in the same room. We were in the same room. We were in the same room. We were in the same room. We were in the same room. We were in the same room. We were in the same room. We were in the same room."
101962,これは、お母さんとお父さん。そして、私たち兄弟の物語。お母さんとお父さんは、大学で出会い、恋に落ちました。もっと早く、見せるべきだった。お母さんとお父さんは、大学で出会い、恋に落ちました。もっと早く、見せるべきだった。花、俺が何に見える?これが、私たち家族の、秘密の始まりでした。雪の日に生まれたから、雪にしよう。じゃあ、弟は雨だね。優しい子になってほしい。大きくなるまで、見守ってやろう。みんなとは、ちょっと変わった。私たち家族。狼って、どうしていつも悪者なの?時をかける少女、サマーホーズの、細田守監督が、この夏、日本中を笑顔にします。雪、雨、行くよ!行くよ!オオカミコドモの、雨と雪
102033," I'm hot! I'm big! No! No! My name is Daniel Lugo and I believe in fitness. All this began because it was time to push myself harder. Oh there you go! Yes! Otherwise, I was looking at another 40 years of wearing sweatpants to work. Mr. Dobble, are you currently using steroids? I think they messed me up. Don't worry, that's what we specialize in here. Penis magic. I'm a self-made man. You made a lot of money. Maybe yourself ought to spend some of it on a salad. You know who invented salad? Poor people. What's going on, DL? You ever just get tired of being where you are, Adrian? No! I kind of like it here. I mean, a weight's a noodle. I mean, in life, man! When's the last time you paid your rent when it was due? That's true. I got a plan to change that. Where'd you do your time, pal? Up north. Are you fixed for a job now? You just can't kidnap a guy and take his things. That's so illegal. I'm sure we can. Victor Kershaw is a criminal prick who deserves bad stuff to happen to him. We go through with this, nobody gets hurt, right? No. Aw, man. We snatch him. There he is! We grab him, sign a few signatures. We give him a protein shake. He doesn't even know what happened. I watch a lot of movies, Paul. I know what I'm doing. The Sun Jim gang has successfully acquired every asset you had. What happens now? Now I go to work. I gotta get a pump. That's it. That's good. It hurts. I know it does. If that's it, get it. You said no violence. And I meant it when I said it, I swear to God. I cannot kill. Duly noted. Look, when this is over, we'll all go camping, alright? Okay."
